Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Test
2756864,16290560,6775808,14555136,14620672,1518848,4722432,6358784,0
4564480,11614976,665088,2164992,3344128,5657600,7541760,15275264,0
14424322,11884033,3323136,7868160,1053952,5842432,2823936,15666176,0
4664320,11051264,4274944,789248,5320192,8788992,11148288,8980992,0
3306240,12344832,4292864,15151104,11806464,2571008,15206656,8062208,0
3199488,3624192,14578688,14564864,15468288,7417600,1643776,3345152,0
305152,4803072,2100224,15539968,3087616,8075776,13049856,4918528,0
16079616,9829120,6776320,2364160,341504,13317632,3672832,9831936,0
6500352,8006400,9450240,5318656,5578240,7741440,13699584,9571072,0
15681280,11236096,14101760,398080,6366976,6114816,14224640,16582656,0
15917072,12274176,8459008,11802368,9971456,12331008,10752768,15992832,0
7614464,15879680,11941120,3882496,3941632,9706752,5378560,15731968,0
15491584,206848,9387520,10554880,3154944,12529664,6295296,9046528,0
15951360,10961664,2138368,10945024,16652800,9705728,9505280,11862784,0
2595328,5862656,4011008,9116672,3222784,531200,2823424,4395008,0
12868608,16432640,15352576,11280896,5577472,14560256,15537664,11535872,0
6759169,12468224,10094592,8068352,14169344,6834944,9442560,13437440,0
5471746,3744768,16003584,5971200,2427392,266496,2755584,8587008,0
4782084,2528000,8804864,7168,15880960,12461056,467712,4138240,0
14010117,3067392,13057024,5643520,9767680,5771264,12790272,4203008,0
6148864,5649664,2492672,7762688,12333056,4668416,6951168,5769472,0
4015616,342528,5050368,9588224,9116672,1057024,9833472,12717568,0
142336,8861952,6234624,7218176,11935232,4789760,10423296,7079680,0
14693632,3249152,15078144,12540672,14293504,14488064,7801600,2230272,0
